id;name;description;provider_id
1;world-class Valenciana Sabroso;Pantalones;1
2;Ladrillo;Bedfordshire;2
3;programming Distribuido programming;Integración optical;2
4;Personal Buckinghamshire Director;24/365;1
5;Informática;RSS syndicate;2
6;Comunidad Genérico Automatizado;optimizada Bricolaje cliente;2
7;Ensalada Loan;virtual Cambridgeshire transmitting;1
8;Account primary Metal;discreta Investment;1
9;previsión Tácticas navigating;infrastructures;2
10;Rwanda Desarrollador generación;compelling Ladrillo;1
